File Name,X Coordinate,Y Coordinate
task005_cope02_Incorrect_Task_0001.tif,224,162
task005_cope02_Incorrect_Task_0002.tif,228,151
task005_cope02_Incorrect_Task_0003.tif,215,158
task005_cope02_Incorrect_Task_0004.tif,204,147
task005_cope02_Incorrect_Task_0005.tif,207,121
task005_cope02_Incorrect_Task_0006.tif,206,214
task005_cope02_Incorrect_Task_0007.tif,195,168
task005_cope02_Incorrect_Task_0008.tif,202,129
task005_cope02_Incorrect_Task_0009.tif,202,186
task005_cope02_Incorrect_Task_0010.tif,197,181
task005_cope02_Incorrect_Task_0011.tif,215,131
task005_cope02_Incorrect_Task_0012.tif,195,154
task005_cope02_Incorrect_Task_0013.tif,194,164
task005_cope02_Incorrect_Task_0014.tif,204,186
task005_cope02_Incorrect_Task_0015.tif,212,189
task005_cope02_Incorrect_Task_0016.tif,200,207
task005_cope02_Incorrect_Task_0017.tif,188,76
task005_cope02_Incorrect_Task_0018.tif,148,167
task005_cope02_Incorrect_Task_0019.tif,155,185
task005_cope02_Incorrect_Task_0020.tif,142,165
task005_cope02_Incorrect_Task_0021.tif,146,117
task005_cope02_Incorrect_Task_0022.tif,146,98
task005_cope02_Incorrect_Task_0023.tif,178,75
task005_cope02_Incorrect_Task_0024.tif,179,75
task005_cope02_Incorrect_Task_0025.tif,116,220
task005_cope02_Incorrect_Task_0026.tif,130,228
task005_cope02_Incorrect_Task_0027.tif,130,226
task005_cope02_Incorrect_Task_0028.tif,129,93
task005_cope02_Incorrect_Task_0029.tif,159,106
task005_cope02_Incorrect_Task_0030.tif,127,84
task005_cope02_Incorrect_Task_0031.tif,192,85
task005_cope02_Incorrect_Task_0032.tif,138,196
task005_cope02_Incorrect_Task_0033.tif,187,91
task005_cope02_Incorrect_Task_0034.tif,181,85
task005_cope02_Incorrect_Task_0035.tif,186,216
task005_cope02_Incorrect_Task_0036.tif,186,213
task005_cope02_Incorrect_Task_0037.tif,182,215
task005_cope02_Incorrect_Task_0038.tif,181,217
task005_cope02_Incorrect_Task_0039.tif,183,217
task005_cope02_Incorrect_Task_0040.tif,246,202
task005_cope02_Incorrect_Task_0041.tif,243,198
task005_cope02_Incorrect_Task_0042.tif,256,189
task005_cope02_Incorrect_Task_0043.tif,89,156
task005_cope02_Incorrect_Task_0044.tif,240,174
task005_cope02_Incorrect_Task_0045.tif,238,173
task005_cope02_Incorrect_Task_0046.tif,237,172
task005_cope02_Incorrect_Task_0047.tif,171,231
task005_cope02_Incorrect_Task_0048.tif,237,184
task005_cope02_Incorrect_Task_0049.tif,163,225
task005_cope02_Incorrect_Task_0050.tif,235,185
task005_cope02_Incorrect_Task_0051.tif,234,187
task005_cope02_Incorrect_Task_0052.tif,230,155
task005_cope02_Incorrect_Task_0053.tif,154,194
task005_cope02_Incorrect_Task_0054.tif,157,185
task005_cope02_Incorrect_Task_0055.tif,169,169
task005_cope02_Incorrect_Task_0056.tif,130,149
task005_cope02_Incorrect_Task_0057.tif,160,150
