,File Name,Number of Line Segments,Number of Extremal Unarticulated Paths,Computation Time
0,task005_cope02_Incorrect_Task_0001.tif,231,6,1.271630900009768
1,task005_cope02_Incorrect_Task_0002.tif,468,4,0.9463152000098489
2,task005_cope02_Incorrect_Task_0003.tif,1164,16,0.7986152000084985
3,task005_cope02_Incorrect_Task_0004.tif,2160,12,0.6525971000082791
4,task005_cope02_Incorrect_Task_0005.tif,2529,10,0.6205100000079256
5,task005_cope02_Incorrect_Task_0006.tif,2668,6,0.6267725999932736
6,task005_cope02_Incorrect_Task_0007.tif,2616,10,0.6217164999980014
7,task005_cope02_Incorrect_Task_0008.tif,3267,14,0.6850127000070643
8,task005_cope02_Incorrect_Task_0009.tif,3485,6,0.6385074999998324
9,task005_cope02_Incorrect_Task_0010.tif,3915,8,0.655413900007261
10,task005_cope02_Incorrect_Task_0011.tif,4191,6,0.6616530999890529
11,task005_cope02_Incorrect_Task_0012.tif,3883,6,0.6590400999994017
12,task005_cope02_Incorrect_Task_0013.tif,3682,4,0.6469233999960124
13,task005_cope02_Incorrect_Task_0014.tif,3783,6,0.6456142000097316
14,task005_cope02_Incorrect_Task_0015.tif,4089,2,0.6644159000134096
15,task005_cope02_Incorrect_Task_0016.tif,4209,6,0.6483669000153895
16,task005_cope02_Incorrect_Task_0017.tif,4351,2,0.6557620999810752
17,task005_cope02_Incorrect_Task_0018.tif,4419,4,0.7210836999875028
18,task005_cope02_Incorrect_Task_0019.tif,4504,4,0.7147010999906342
19,task005_cope02_Incorrect_Task_0020.tif,4725,6,0.7000741999945603
20,task005_cope02_Incorrect_Task_0021.tif,4458,4,0.6925258999981452
21,task005_cope02_Incorrect_Task_0022.tif,4179,8,0.6491689000104088
22,task005_cope02_Incorrect_Task_0023.tif,4491,4,0.6904597000102513
23,task005_cope02_Incorrect_Task_0024.tif,4963,2,0.6912907999940217
24,task005_cope02_Incorrect_Task_0025.tif,5019,10,0.6760632999939844
25,task005_cope02_Incorrect_Task_0026.tif,4878,6,0.6883745000232011
26,task005_cope02_Incorrect_Task_0027.tif,4641,4,0.6637860000191722
27,task005_cope02_Incorrect_Task_0028.tif,4356,6,0.6595679000020027
28,task005_cope02_Incorrect_Task_0029.tif,4401,8,0.6556184999935795
29,task005_cope02_Incorrect_Task_0030.tif,4125,8,0.6831777000043076
30,task005_cope02_Incorrect_Task_0031.tif,3873,4,0.6469011000008322
31,task005_cope02_Incorrect_Task_0032.tif,3530,8,0.6451273999991827
32,task005_cope02_Incorrect_Task_0033.tif,3484,4,0.6452909999934491
33,task005_cope02_Incorrect_Task_0034.tif,3734,6,0.6439449999888893
34,task005_cope02_Incorrect_Task_0035.tif,3621,2,0.6457169000059366
35,task005_cope02_Incorrect_Task_0036.tif,3561,4,0.6368238999857567
36,task005_cope02_Incorrect_Task_0037.tif,3307,4,0.6418150000099558
37,task005_cope02_Incorrect_Task_0038.tif,3233,4,0.6279877999913879
38,task005_cope02_Incorrect_Task_0039.tif,3380,2,0.6444373000122141
39,task005_cope02_Incorrect_Task_0040.tif,3171,8,0.6313239999872167
40,task005_cope02_Incorrect_Task_0041.tif,2934,8,0.6309545999974944
41,task005_cope02_Incorrect_Task_0042.tif,2823,6,0.6282887999841478
42,task005_cope02_Incorrect_Task_0043.tif,2672,4,0.6176330000162125
43,task005_cope02_Incorrect_Task_0044.tif,2521,2,0.6257622999837622
44,task005_cope02_Incorrect_Task_0045.tif,2292,2,0.6168853999988642
45,task005_cope02_Incorrect_Task_0046.tif,2144,2,0.6094445000053383
46,task005_cope02_Incorrect_Task_0047.tif,1974,2,0.6091202000097837
47,task005_cope02_Incorrect_Task_0048.tif,1844,2,0.6051067999796942
48,task005_cope02_Incorrect_Task_0049.tif,1776,4,0.6097274999774527
49,task005_cope02_Incorrect_Task_0050.tif,1852,4,0.789358700014418
50,task005_cope02_Incorrect_Task_0051.tif,1950,4,0.8712049000023399
51,task005_cope02_Incorrect_Task_0052.tif,1883,2,0.7170928999839816
52,task005_cope02_Incorrect_Task_0053.tif,1959,4,0.6122859000170138
53,task005_cope02_Incorrect_Task_0054.tif,1719,4,0.623761499999091
54,task005_cope02_Incorrect_Task_0055.tif,1504,2,0.6034046999993734
55,task005_cope02_Incorrect_Task_0056.tif,1116,2,0.5831818000006024
56,task005_cope02_Incorrect_Task_0057.tif,663,6,0.5892058000026736
