File Name,X Coordinate,Y Coordinate
line_bisection_no_response_control_0002.tif,246,219
line_bisection_no_response_control_0003.tif,231,150
line_bisection_no_response_control_0004.tif,207,147
line_bisection_no_response_control_0005.tif,218,149
line_bisection_no_response_control_0006.tif,192,172
line_bisection_no_response_control_0007.tif,188,205
line_bisection_no_response_control_0008.tif,217,223
line_bisection_no_response_control_0009.tif,215,223
line_bisection_no_response_control_0010.tif,180,214
line_bisection_no_response_control_0011.tif,196,68
line_bisection_no_response_control_0012.tif,272,151
line_bisection_no_response_control_0013.tif,189,228
line_bisection_no_response_control_0014.tif,199,69
line_bisection_no_response_control_0015.tif,176,236
line_bisection_no_response_control_0016.tif,265,152
line_bisection_no_response_control_0017.tif,275,150
line_bisection_no_response_control_0018.tif,277,151
line_bisection_no_response_control_0019.tif,294,123
line_bisection_no_response_control_0020.tif,294,145
line_bisection_no_response_control_0021.tif,280,151
line_bisection_no_response_control_0022.tif,158,317
line_bisection_no_response_control_0023.tif,255,231
line_bisection_no_response_control_0024.tif,259,232
line_bisection_no_response_control_0025.tif,259,229
line_bisection_no_response_control_0026.tif,260,231
line_bisection_no_response_control_0027.tif,301,152
line_bisection_no_response_control_0028.tif,309,148
line_bisection_no_response_control_0029.tif,308,131
line_bisection_no_response_control_0030.tif,108,201
line_bisection_no_response_control_0031.tif,295,168
line_bisection_no_response_control_0032.tif,114,190
line_bisection_no_response_control_0033.tif,113,188
line_bisection_no_response_control_0034.tif,307,193
line_bisection_no_response_control_0035.tif,287,93
line_bisection_no_response_control_0036.tif,289,96
line_bisection_no_response_control_0037.tif,288,96
line_bisection_no_response_control_0038.tif,295,165
line_bisection_no_response_control_0039.tif,285,202
line_bisection_no_response_control_0040.tif,263,76
line_bisection_no_response_control_0041.tif,249,227
line_bisection_no_response_control_0042.tif,289,108
line_bisection_no_response_control_0043.tif,277,94
line_bisection_no_response_control_0044.tif,274,95
line_bisection_no_response_control_0045.tif,289,117
line_bisection_no_response_control_0046.tif,228,237
line_bisection_no_response_control_0047.tif,235,227
line_bisection_no_response_control_0048.tif,284,110
line_bisection_no_response_control_0049.tif,232,213
line_bisection_no_response_control_0050.tif,274,136
line_bisection_no_response_control_0051.tif,249,136
line_bisection_no_response_control_0052.tif,250,141
line_bisection_no_response_control_0053.tif,252,150
line_bisection_no_response_control_0054.tif,249,166
line_bisection_no_response_control_0055.tif,99,164
line_bisection_no_response_control_0056.tif,103,164
line_bisection_no_response_control_0057.tif,134,184
line_bisection_no_response_control_0058.tif,136,181
