,File Name,Number of Line Segments,Number of Extremal Unarticulated Paths,Computation Time
0,task001_cope01_Task_0001.tif,563,8,1.096078500006115
1,task001_cope01_Task_0002.tif,1030,10,1.0884251999959815
2,task001_cope01_Task_0003.tif,1592,8,1.0456623999925796
3,task001_cope01_Task_0004.tif,1984,6,1.0760741000121925
4,task001_cope01_Task_0005.tif,2556,10,1.120587000012165
5,task001_cope01_Task_0006.tif,3008,6,1.2058867000159808
6,task001_cope01_Task_0007.tif,3170,4,1.1385247000143863
7,task001_cope01_Task_0008.tif,3297,12,1.0676571000076365
8,task001_cope01_Task_0009.tif,3510,4,1.1977154000196606
9,task001_cope01_Task_0010.tif,3929,6,1.188544999982696
10,task001_cope01_Task_0011.tif,4138,4,1.2357992000179365
11,task001_cope01_Task_0012.tif,4287,4,1.2062348000181373
12,task001_cope01_Task_0013.tif,4679,6,1.2538771000108682
13,task001_cope01_Task_0014.tif,4690,6,1.267715699999826
14,task001_cope01_Task_0015.tif,4619,6,1.305878399987705
15,task001_cope01_Task_0016.tif,4638,8,1.2579733000020497
16,task001_cope01_Task_0017.tif,4526,4,1.0830068999784999
17,task001_cope01_Task_0018.tif,4825,2,1.3168559999903664
18,task001_cope01_Task_0019.tif,4682,4,1.187803700013319
19,task001_cope01_Task_0020.tif,4521,4,1.338055300002452
20,task001_cope01_Task_0021.tif,4749,4,1.2524405999865849
21,task001_cope01_Task_0022.tif,4675,4,1.3634545999811962
22,task001_cope01_Task_0023.tif,4297,2,1.1640491999860387
23,task001_cope01_Task_0024.tif,4513,2,1.2917699000099674
24,task001_cope01_Task_0025.tif,4310,0,1.0454665000142995
25,task001_cope01_Task_0026.tif,4434,2,1.6333600000070874
26,task001_cope01_Task_0027.tif,4164,2,1.19197690000874
27,task001_cope01_Task_0028.tif,3978,2,1.3911110000044573
28,task001_cope01_Task_0029.tif,4004,2,1.3742700000002515
29,task001_cope01_Task_0030.tif,4018,4,1.7424774000246543
30,task001_cope01_Task_0031.tif,4026,4,1.9892709999985527
31,task001_cope01_Task_0032.tif,4240,6,2.767014700017171
32,task001_cope01_Task_0033.tif,4267,2,1.6635802000237163
33,task001_cope01_Task_0034.tif,4478,2,1.6942238999763504
34,task001_cope01_Task_0035.tif,4542,2,2.87677909998456
35,task001_cope01_Task_0036.tif,4542,2,2.860304800007725
36,task001_cope01_Task_0037.tif,4482,2,1.401423600007547
37,task001_cope01_Task_0038.tif,4285,2,1.1780708000005689
38,task001_cope01_Task_0039.tif,4442,2,1.110329700022703
39,task001_cope01_Task_0040.tif,4266,4,1.047811800002819
40,task001_cope01_Task_0041.tif,3997,2,1.1798278999922331
41,task001_cope01_Task_0042.tif,3809,4,1.0983256000035908
42,task001_cope01_Task_0043.tif,3746,2,1.3066204000206199
43,task001_cope01_Task_0044.tif,3504,2,1.2302178999816533
44,task001_cope01_Task_0045.tif,3218,6,1.332950100011658
45,task001_cope01_Task_0046.tif,3091,2,1.187472199992044
46,task001_cope01_Task_0047.tif,2948,6,1.2690828000195324
47,task001_cope01_Task_0048.tif,2808,4,1.2724807999911718
48,task001_cope01_Task_0049.tif,2707,4,1.2011167000164278
49,task001_cope01_Task_0050.tif,2246,2,1.0889040999754798
50,task001_cope01_Task_0051.tif,2058,4,1.2108248999866191
51,task001_cope01_Task_0052.tif,1960,2,1.0439737999986392
52,task001_cope01_Task_0053.tif,1712,4,1.0181935000000522
53,task001_cope01_Task_0054.tif,1457,4,1.2193262999935541
54,task001_cope01_Task_0055.tif,1144,4,1.08692939998582
55,task001_cope01_Task_0056.tif,793,4,1.118977600010112
56,task001_cope01_Task_0057.tif,483,4,1.1586671999830287
